"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
7,1920,0.06266925
8,0,0
8,3,3.599476E-06
8,6,0.0001359985
8,9,0.0009055163
8,12,0.003214855
8,15,0.008161329
8,18,0.01677419
8,21,0.02980212
8,24,0.04758931
8,27,0.07004487
8,30,0.09669381
8,33,0.1267766
8,36,0.1593625
8,39,0.1934542
8,42,0.2280712
8,45,0.2623103
8,48,0.2953846
8,51,0.3266445
8,54,0.3555836
8,57,0.3818353
8,60,0.4051614
8,63,0.4254377
8,66,0.4426368
8,69,0.456811
8,72,0.4680759
8,75,0.4765943
8,78,0.4825632
8,81,0.4862015
8,84,0.4877399
8,87,0.4874128
8,90,0.4854515
8,93,0.4820802
8,96,0.4775108
8,99,0.4719413
8,102,0.4655539
8,105,0.4585141
8,108,0.4509706
8,111,0.4430553
8,114,0.4348842
8,117,0.426558
8,120,0.4181631
8,135,0.3773375
8,150,0.3415985
8,165,0.3123032
8,180,0.2889182
8,195,0.2703103
8,210,0.2553367
8,225,0.2430537
8,240,0.232749
8,255,0.2239099
8,270,0.2161754
8,285,0.2092933
