"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,7860,26.52369
0,7875,26.50063
0,7890,26.47758
0,7905,26.45456
0,7920,26.43155
0,7935,26.40857
0,7950,26.3856
0,7965,26.36266
0,7980,26.33973
0,7995,26.31683
0,8010,26.29395
0,8025,26.27109
0,8040,26.24824
0,8055,26.22542
0,8070,26.20262
0,8085,26.17984
0,8100,26.15708
0,8115,26.13434
0,8130,26.11162
0,8145,26.08891
0,8160,26.06623
0,8175,26.04358
0,8190,26.02094
0,8205,25.99831
0,8220,25.97572
0,8235,25.95313
0,8250,25.93057
0,8265,25.90804
0,8280,25.88552
0,8295,25.86301
0,8310,25.84053
0,8325,25.81807
0,8340,25.79563
0,8355,25.77321
0,8370,25.75081
0,8385,25.72843
0,8400,25.70607
0,8415,25.68373
0,8430,25.66141
0,8445,25.6391
0,8460,25.61682
0,8475,25.59456
0,8490,25.57232
0,8505,25.55009
0,8520,25.52789
0,8535,25.50571
0,8550,25.48354
0,8565,25.4614
0,8580,25.43927
0,8595,25.41717
0,8610,25.39508
0,8625,25.37301
0,8640,25.35097
0,8655,25.32894
0,8670,25.30693
0,8685,25.28494
0,8700,25.26297
0,8715,25.24102
0,8730,25.21909
0,8745,25.19718
0,8760,25.17529
0,8775,25.15341
0,8790,25.13156
0,8805,25.10972
0,8820,25.08791
0,8835,25.06611
0,8850,25.04434
0,8865,25.02258
0,8880,25.00084
0,8895,24.97912
0,8910,24.95742
0,8925,24.93574
0,8940,24.91408
0,8955,24.89243
0,8970,24.87081
0,8985,24.8492
0,9000,24.82762
0,9015,24.80605
0,9030,24.7845
0,9045,24.76297
0,9060,24.74146
0,9075,24.71997
0,9090,24.6985
0,9105,24.67704
0,9120,24.65561
0,9135,24.63419
0,9150,24.61279
0,9165,24.59142
0,9180,24.57006
0,9195,24.54872
0,9210,24.52739
0,9225,24.50609
0,9240,24.4848
0,9255,24.46354
0,9270,24.44229
0,9285,24.42106
0,9300,24.39985
0,9315,24.37866
0,9330,24.35749
0,9345,24.33633
0,9360,24.3152
0,9375,24.29408
0,9390,24.27298
0,9405,24.2519
0,9420,24.23084
0,9435,24.20979
0,9450,24.18877
0,9465,24.16776
0,9480,24.14677
0,9495,24.1258
0,9510,24.10485
0,9525,24.08392
0,9540,24.063
0,9555,24.04211
0,9570,24.02123
0,9585,24.00037
0,9600,23.97952
0,9615,23.9587
0,9630,23.9379
0,9645,23.91711
0,9660,23.89634
0,9675,23.87559
0,9690,23.85486
0,9705,23.83414
0,9720,23.81345
0,9735,23.79277
0,9750,23.77211
0,9765,23.75146
0,9780,23.73084
0,9795,23.71024
0,9810,23.68965
0,9825,23.66908
0,9840,23.64853
0,9855,23.62799
0,9870,23.60747
0,9885,23.58698
0,9900,23.5665
