"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
5,1395,0.1391944
5,1410,0.139707
5,1425,0.1402095
5,1440,0.1407018
6,0,0
6,3,2.010895E-07
6,6,7.674214E-06
6,9,4.939516E-05
6,12,0.000171508
6,15,0.0004338088
6,18,0.0009022153
6,21,0.001641347
6,24,0.002708632
6,27,0.004150229
6,30,0.005998578
6,33,0.008271451
6,36,0.01097224
6,39,0.01409112
6,42,0.01760687
6,45,0.02148906
6,48,0.0257003
6,51,0.03019849
6,54,0.03493879
6,57,0.03987538
6,60,0.04496283
6,63,0.05015728
6,66,0.05541719
6,69,0.060704
6,72,0.06598246
6,75,0.07122085
6,78,0.07639105
6,81,0.08146849
6,84,0.08643207
6,87,0.09126392
6,90,0.09594929
6,93,0.1004762
6,96,0.1048354
6,99,0.1090198
6,102,0.1130246
6,105,0.1168467
6,108,0.1204848
6,111,0.1239388
6,114,0.1272101
6,117,0.130301
6,120,0.1332147
6,135,0.1452837
6,150,0.1537016
6,165,0.1592325
6,180,0.1626045
6,195,0.1644414
6,210,0.1652399
6,225,0.1653711
6,240,0.1650962
6,255,0.1645903
6,270,0.1639654
6,285,0.1632905
6,300,0.1626072
6,315,0.1619398
6,330,0.1613019
6,345,0.1607009
6,360,0.1601404
6,375,0.1596217
6,390,0.1591444
6,405,0.1587077
6,420,0.1583098
6,435,0.1579488
6,450,0.1576228
6,465,0.1573296
6,480,0.1570672
6,495,0.1568335
6,510,0.1566266
6,525,0.1564447
6,540,0.1562861
6,555,0.1561492
6,570,0.1560326
6,585,0.1559349
6,600,0.1558548
6,615,0.1557912
6,630,0.155743
6,645,0.1557092
6,660,0.1556889
6,675,0.1556812
6,690,0.1556853
6,705,0.1557004
6,720,0.1557258
6,735,0.1557608
6,750,0.1558046
6,765,0.1558568
6,780,0.1559167
6,795,0.1559836
6,810,0.156057
6,825,0.1561364
6,840,0.1562211
6,855,0.1563107
6,870,0.1564046
6,885,0.1565023
6,900,0.1566034
6,915,0.1567073
6,930,0.1568136
6,945,0.1569217
6,960,0.1570313
6,975,0.1571419
6,990,0.1572531
6,1005,0.1573643
6,1020,0.1574753
6,1035,0.1575855
6,1050,0.1576947
6,1065,0.1578023
6,1080,0.1579081
6,1095,0.1580116
6,1110,0.1581125
6,1125,0.1582104
